Name,Mean ratio
Door mat,2.467021431887202
Bath mat,2.006541152878149
Astro turf,1.8096418829747023
Garden deck tile,1.3185453060611023
Chair pad,1.1168671856016879
Plastic place mat,0.9477417588101862
Throw,0.8569849311767715
Crash mat,0.7913428588640753
Firm foam pad,0.7847853625225801
Towel,0.750372063207422
Cork pad,0.6854628100832899
Tile,0.631703492802943
Rug 2,0.5782657706568867
Gel pad,0.4404741851596161
Rug 1,0.4313540651944585
Plastic desk mat,0.38289574211893623
