,Metric,Texture number,Texture name,Comparison,W,p,Texture
75,hardness,10.0,Plastic desk mat,hand-sitting,72.0,0.37359619140625,
76,hardness,10.0,Plastic desk mat,hand-walking,64.0,0.22532272338867188,
77,hardness,10.0,Plastic desk mat,sitting-walking,56.0,0.12318801879882812,
78,hardness,11.0,Garden deck tile,hand-sitting,60.0,0.168792724609375,
79,hardness,11.0,Garden deck tile,hand-walking,16.0,0.000644683837890625,
80,hardness,11.0,Garden deck tile,sitting-walking,6.0,5.340576171875e-05,
81,hardness,12.0,Tile,hand-sitting,90.0,0.8595733642578125,
82,hardness,12.0,Tile,hand-walking,39.0,0.02298736572265625,
83,hardness,12.0,Tile,sitting-walking,24.0,0.002838134765625,
84,hardness,13.0,Crash mat,hand-sitting,37.0,0.0180816650390625,
85,hardness,13.0,Crash mat,hand-walking,1.0,7.62939453125e-06,
86,hardness,13.0,Crash mat,sitting-walking,3.0,1.9073486328125e-05,
87,hardness,14.0,Firm foam pad,hand-sitting,83.0,0.6507492065429688,
88,hardness,14.0,Firm foam pad,hand-walking,68.0,0.2934989929199219,
89,hardness,14.0,Firm foam pad,sitting-walking,62.0,0.1956329345703125,
90,hardness,15.0,Gel pad,hand-sitting,95.0,1.0,
91,hardness,15.0,Gel pad,hand-walking,58.0,0.14468765258789062,
92,hardness,15.0,Gel pad,sitting-walking,58.0,0.14468765258789062,
93,hardness,16.0,Throw,hand-sitting,84.0,0.6794281005859375,
94,hardness,16.0,Throw,hand-walking,54.0,0.104156494140625,
95,hardness,16.0,Throw,sitting-walking,59.0,0.156402587890625,
96,slipperiness,1.0,Door mat,hand-sitting,72.0,0.37359619140625,
97,slipperiness,1.0,Door mat,hand-walking,56.0,0.12318801879882812,
98,slipperiness,1.0,Door mat,sitting-walking,77.0,0.48996734619140625,
99,slipperiness,2.0,Rug 1,hand-sitting,42.0,0.03234100341796875,
100,slipperiness,2.0,Rug 1,hand-walking,55.0,0.11337661743164062,
101,slipperiness,2.0,Rug 1,sitting-walking,95.0,1.0,
102,slipperiness,3.0,Towel,hand-sitting,46.0,0.049365997314453125,
103,slipperiness,3.0,Towel,hand-walking,37.0,0.0180816650390625,
104,slipperiness,3.0,Towel,sitting-walking,65.0,0.24125289916992188,
105,slipperiness,4.0,Rug 2,hand-sitting,46.0,0.049365997314453125,
106,slipperiness,4.0,Rug 2,hand-walking,58.0,0.14468765258789062,
107,slipperiness,4.0,Rug 2,sitting-walking,91.0,0.8905677795410156,
108,slipperiness,5.0,Cork pad,hand-sitting,62.0,0.1956329345703125,
109,slipperiness,5.0,Cork pad,hand-walking,72.0,0.37359619140625,
110,slipperiness,5.0,Cork pad,sitting-walking,47.0,0.05457305908203125,
111,slipperiness,6.0,Plastic place mat,hand-sitting,87.0,0.76800537109375,
112,slipperiness,6.0,Plastic place mat,hand-walking,88.0,0.7982521057128906,
113,slipperiness,6.0,Plastic place mat,sitting-walking,95.0,1.0,
114,slipperiness,7.0,Chair pad,hand-sitting,80.0,0.5677604675292969,
115,slipperiness,7.0,Chair pad,hand-walking,44.0,0.040130615234375,
116,slipperiness,7.0,Chair pad,sitting-walking,50.0,0.07283401489257812,
117,slipperiness,8.0,Bath mat,hand-sitting,47.0,0.05457305908203125,
118,slipperiness,8.0,Bath mat,hand-walking,60.0,0.168792724609375,
119,slipperiness,8.0,Bath mat,sitting-walking,80.0,0.5677604675292969,
120,slipperiness,9.0,Astro turf,hand-sitting,73.0,0.3954620361328125,
121,slipperiness,9.0,Astro turf,hand-walking,57.0,0.1336212158203125,
122,slipperiness,9.0,Astro turf,sitting-walking,90.0,0.8595733642578125,
123,slipperiness,10.0,Plastic desk mat,hand-sitting,65.0,0.24125289916992188,
124,slipperiness,10.0,Plastic desk mat,hand-walking,57.0,0.1336212158203125,
125,slipperiness,10.0,Plastic desk mat,sitting-walking,86.0,0.7380905151367188,
126,slipperiness,11.0,Garden deck tile,hand-sitting,87.0,0.76800537109375,
127,slipperiness,11.0,Garden deck tile,hand-walking,92.0,0.9217147827148438,
128,slipperiness,11.0,Garden deck tile,sitting-walking,88.0,0.7982521057128906,
129,slipperiness,12.0,Tile,hand-sitting,11.0,0.000209808349609375,
130,slipperiness,12.0,Tile,hand-walking,93.0,0.9529838562011719,
131,slipperiness,12.0,Tile,sitting-walking,22.0,0.00202178955078125,
132,slipperiness,13.0,Crash mat,hand-sitting,81.0,0.5948867797851562,
133,slipperiness,13.0,Crash mat,hand-walking,37.0,0.0180816650390625,
134,slipperiness,13.0,Crash mat,sitting-walking,41.0,0.0289306640625,
135,slipperiness,14.0,Firm foam pad,hand-sitting,88.0,0.7982521057128906,
136,slipperiness,14.0,Firm foam pad,hand-walking,28.0,0.005329132080078125,
137,slipperiness,14.0,Firm foam pad,sitting-walking,43.0,0.036067962646484375,
138,slipperiness,15.0,Gel pad,hand-sitting,38.0,0.020412445068359375,
139,slipperiness,15.0,Gel pad,hand-walking,54.0,0.104156494140625,
140,slipperiness,15.0,Gel pad,sitting-walking,21.0,0.0016937255859375,
141,slipperiness,16.0,Throw,hand-sitting,61.0,0.18186569213867188,
142,slipperiness,16.0,Throw,hand-walking,93.0,0.9529838562011719,
143,slipperiness,16.0,Throw,sitting-walking,72.0,0.37359619140625,
