,Metric,Texture number,Texture name,F,p,Texture
0,roughness,1.0,Door mat,23.05263157894734,9.86698927078371e-06,
1,roughness,2.0,Rug 1,8.84210526315789,0.012021571336618473,
2,roughness,3.0,Towel,18.10526315789471,0.0001170825192600873,
3,roughness,4.0,Rug 2,0.7368421052631504,0.6918258252705198,
4,roughness,5.0,Cork pad,24.94736842105263,3.82602477886277e-06,
5,roughness,6.0,Plastic place mat,3.263157894736821,0.19562045574649578,
6,roughness,7.0,Chair pad,5.0526315789473415,0.07995304217364614,
7,roughness,8.0,Bath mat,15.157894736842081,0.0005110989388394373,
8,roughness,9.0,Astro turf,9.78947368421052,0.007485878932855264,
9,roughness,10.0,Plastic desk mat,3.7894736842105203,0.15035789770837701,
10,roughness,11.0,Garden deck tile,4.105263157894711,0.12839657289295042,
11,roughness,12.0,Tile,12.73684210526315,0.0017148647702633006,
12,roughness,13.0,Crash mat,0.3157894736841911,0.8539396656235435,
13,roughness,14.0,Firm foam pad,3.263157894736821,0.19562045574649578,
14,roughness,15.0,Gel pad,1.2631578947368212,0.5317515301305764,
15,roughness,16.0,Throw,1.368421052631561,0.5044883526787256,
16,hardness,1.0,Door mat,8.87999999999998,0.011795938519751694,
17,hardness,2.0,Rug 1,1.2631578947368212,0.5317515301305764,
18,hardness,3.0,Towel,0.7368421052631504,0.6918258252705198,
19,hardness,4.0,Rug 2,0.9473684210526301,0.6227038648477505,
20,hardness,5.0,Cork pad,1.368421052631561,0.5044883526787256,
21,hardness,6.0,Plastic place mat,0.0,1.0,
22,hardness,7.0,Chair pad,13.519999999999996,0.0011592291739045935,
23,hardness,8.0,Bath mat,0.18666666666665757,0.9108898197456162,
24,hardness,9.0,Astro turf,0.4210526315789309,0.8101577349324335,
25,hardness,10.0,Plastic desk mat,2.2105263157894512,0.3311237329510148,
26,hardness,11.0,Garden deck tile,20.63157894736841,3.310621682654003e-05,
27,hardness,12.0,Tile,9.78947368421052,0.007485878932855264,
28,hardness,13.0,Crash mat,22.84210526315789,1.096225409948948e-05,
29,hardness,14.0,Firm foam pad,2.94736842105263,0.22907994981548777,
30,hardness,15.0,Gel pad,0.4210526315789309,0.8101577349324335,
31,hardness,16.0,Throw,4.105263157894711,0.12839657289295042,
32,slipperiness,1.0,Door mat,1.2631578947368212,0.5317515301305764,
33,slipperiness,2.0,Rug 1,2.8421052631578902,0.24145971495638485,
34,slipperiness,3.0,Towel,6.0,0.04978706836786395,
35,slipperiness,4.0,Rug 2,4.105263157894711,0.12839657289295042,
36,slipperiness,5.0,Cork pad,2.94736842105263,0.22907994981548777,
37,slipperiness,6.0,Plastic place mat,0.10526315789471141,0.9487294800164492,
38,slipperiness,7.0,Chair pad,4.526315789473671,0.10402147666803828,
39,slipperiness,8.0,Bath mat,4.526315789473671,0.10402147666803828,
40,slipperiness,9.0,Astro turf,1.6842105263157805,0.4308026151974371,
41,slipperiness,10.0,Plastic desk mat,2.2105263157894512,0.3311237329510148,
42,slipperiness,11.0,Garden deck tile,0.10526315789471141,0.9487294800164492,
43,slipperiness,12.0,Tile,13.57894736842104,0.0011255610188435458,
44,slipperiness,13.0,Crash mat,9.78947368421052,0.007485878932855264,
45,slipperiness,14.0,Firm foam pad,8.315789473684191,0.015640450548327228,
46,slipperiness,15.0,Gel pad,11.78947368421052,0.0027539009584958674,
47,slipperiness,16.0,Throw,1.368421052631561,0.5044883526787256,
