,Metric,Condition,participant1,participant2,r
0,roughness,walking,PPT_007,PPT_015,0.76787839828875
0,roughness,walking,PPT_007,PPT_016,0.6114922982911819
0,roughness,walking,PPT_007,PPT_017,0.7162246009838216
0,roughness,walking,PPT_007,PPT_018,0.47318277432713984
0,roughness,walking,PPT_007,PPT_019,0.7617445805707699
0,roughness,walking,PPT_007,PPT_020,0.7206824304505259
0,roughness,walking,PPT_008,PPT_009,0.2348599312503238
0,roughness,walking,PPT_008,PPT_010,0.4974127329978745
0,roughness,walking,PPT_008,PPT_011,-0.07905043397111824
0,roughness,walking,PPT_008,PPT_012,0.29238275518022294
0,roughness,walking,PPT_008,PPT_013,-0.05337358736570264
0,roughness,walking,PPT_008,PPT_014,0.2730628049898128
0,roughness,walking,PPT_008,PPT_015,0.2597786685308489
0,roughness,walking,PPT_008,PPT_016,0.04142029962357
0,roughness,walking,PPT_008,PPT_017,0.39572597333024884
0,roughness,walking,PPT_008,PPT_018,0.18329682899884367
0,roughness,walking,PPT_008,PPT_019,0.42836088089681706
0,roughness,walking,PPT_008,PPT_020,0.24023587952637082
0,roughness,walking,PPT_009,PPT_010,0.7635304277177412
0,roughness,walking,PPT_009,PPT_011,0.6452880679777436
0,roughness,walking,PPT_009,PPT_012,0.4725708017468647
0,roughness,walking,PPT_009,PPT_013,0.795105700454248
0,roughness,walking,PPT_009,PPT_014,0.7043608723547651
0,roughness,walking,PPT_009,PPT_015,0.8329640116934105
0,roughness,walking,PPT_009,PPT_016,0.8955565383341889
0,roughness,walking,PPT_009,PPT_017,0.8464965396653622
0,roughness,walking,PPT_009,PPT_018,0.8090305695182832
0,roughness,walking,PPT_009,PPT_019,0.6849112426035503
0,roughness,walking,PPT_009,PPT_020,0.745389280786413
0,roughness,walking,PPT_010,PPT_011,0.6242689847959998
0,roughness,walking,PPT_010,PPT_012,0.5632933389545152
0,roughness,walking,PPT_010,PPT_013,0.5937506574092374
0,roughness,walking,PPT_010,PPT_014,0.7407439922990096
0,roughness,walking,PPT_010,PPT_015,0.8296332713748906
0,roughness,walking,PPT_010,PPT_016,0.6414255665138497
0,roughness,walking,PPT_010,PPT_017,0.7625814739363315
0,roughness,walking,PPT_010,PPT_018,0.6053419125622371
0,roughness,walking,PPT_010,PPT_019,0.8947390546168092
0,roughness,walking,PPT_010,PPT_020,0.8106588704502612
0,roughness,walking,PPT_011,PPT_012,0.4484354928469312
0,roughness,walking,PPT_011,PPT_013,0.658182750100235
0,roughness,walking,PPT_011,PPT_014,0.8455685386379074
0,roughness,walking,PPT_011,PPT_015,0.6880972573911304
0,roughness,walking,PPT_011,PPT_016,0.7105700480459316
0,roughness,walking,PPT_011,PPT_017,0.5842442080554399
0,roughness,walking,PPT_011,PPT_018,0.7227495464382602
0,roughness,walking,PPT_011,PPT_019,0.7610515523950473
0,roughness,walking,PPT_011,PPT_020,0.7578780096841611
0,roughness,walking,PPT_012,PPT_013,0.3061498902162365
0,roughness,walking,PPT_012,PPT_014,0.5933249703072716
0,roughness,walking,PPT_012,PPT_015,0.48847713308858937
0,roughness,walking,PPT_012,PPT_016,0.49933801056845095
0,roughness,walking,PPT_012,PPT_017,0.6330293057961696
0,roughness,walking,PPT_012,PPT_018,0.4745486789411817
0,roughness,walking,PPT_012,PPT_019,0.5742426609867237
0,roughness,walking,PPT_012,PPT_020,0.5827115917457049
0,roughness,walking,PPT_013,PPT_014,0.6327955859306693
0,roughness,walking,PPT_013,PPT_015,0.8234502935322894
0,roughness,walking,PPT_013,PPT_016,0.9137569198387272
0,roughness,walking,PPT_013,PPT_017,0.7126051048359683
0,roughness,walking,PPT_013,PPT_018,0.6552777820772299
0,roughness,walking,PPT_013,PPT_019,0.5902045115416686
0,roughness,walking,PPT_013,PPT_020,0.5526022954341293
0,roughness,walking,PPT_014,PPT_015,0.8301329394387003
0,roughness,walking,PPT_014,PPT_016,0.7335325265000613
0,roughness,walking,PPT_014,PPT_017,0.7396763207733171
0,roughness,walking,PPT_014,PPT_018,0.7448233001554869
0,roughness,walking,PPT_014,PPT_019,0.9009610738724646
0,roughness,walking,PPT_014,PPT_020,0.7595878468559489
0,roughness,walking,PPT_015,PPT_016,0.8282773936968401
0,roughness,walking,PPT_015,PPT_017,0.8606204051270797
0,roughness,walking,PPT_015,PPT_018,0.7352079050194181
0,roughness,walking,PPT_015,PPT_019,0.8610497547673677
0,roughness,walking,PPT_015,PPT_020,0.7890864040154031
0,roughness,walking,PPT_016,PPT_017,0.8595771924816226
0,roughness,walking,PPT_016,PPT_018,0.7264642470424917
0,roughness,walking,PPT_016,PPT_019,0.6496303425302595
0,roughness,walking,PPT_016,PPT_020,0.6489327386060744
0,roughness,walking,PPT_017,PPT_018,0.748156883629515
0,roughness,walking,PPT_017,PPT_019,0.7461272899753105
0,roughness,walking,PPT_017,PPT_020,0.6804123711340206
0,roughness,walking,PPT_018,PPT_019,0.6195412503996368
0,roughness,walking,PPT_018,PPT_020,0.6322036450018408
0,roughness,walking,PPT_019,PPT_020,0.8073820526537979
0,hardness,walking,PPT_001,PPT_002,0.9142708401545718
0,hardness,walking,PPT_001,PPT_003,0.7253397022301099
0,hardness,walking,PPT_001,PPT_004,0.7879234167893961
0,hardness,walking,PPT_001,PPT_005,0.9013254786450662
0,hardness,walking,PPT_001,PPT_006,0.8091380236808442
0,hardness,walking,PPT_001,PPT_007,0.7134447676072178
0,hardness,walking,PPT_001,PPT_008,0.9366715758468335
0,hardness,walking,PPT_001,PPT_009,0.8413826986458891
0,hardness,walking,PPT_001,PPT_010,0.8657826526299844
0,hardness,walking,PPT_001,PPT_011,0.8805319312097115
0,hardness,walking,PPT_001,PPT_012,0.8090960482068275
0,hardness,walking,PPT_001,PPT_013,0.9467913874195688
0,hardness,walking,PPT_001,PPT_014,0.8974191736992855
0,hardness,walking,PPT_001,PPT_015,0.901037905259633
0,hardness,walking,PPT_001,PPT_016,0.79084058121697
0,hardness,walking,PPT_001,PPT_017,0.8242281166145496
0,hardness,walking,PPT_001,PPT_018,0.8151719478491922
0,hardness,walking,PPT_001,PPT_019,0.8876211518657119
0,hardness,walking,PPT_001,PPT_020,0.8365243004418261
0,hardness,walking,PPT_002,PPT_003,0.7779511434934633
0,hardness,walking,PPT_002,PPT_004,0.755363620564246
0,hardness,walking,PPT_002,PPT_005,0.931270217134002
0,hardness,walking,PPT_002,PPT_006,0.7670151912436087
0,hardness,walking,PPT_002,PPT_007,0.836175174146868
0,hardness,walking,PPT_002,PPT_008,0.951965110848091
0,hardness,walking,PPT_002,PPT_009,0.915182624648576
0,hardness,walking,PPT_002,PPT_010,0.905257598294223
0,hardness,walking,PPT_002,PPT_011,0.9296840093683926
0,hardness,walking,PPT_002,PPT_012,0.9135098358618265
0,hardness,walking,PPT_002,PPT_013,0.9295252225519289
0,hardness,walking,PPT_002,PPT_014,0.8770379994935318
0,hardness,walking,PPT_002,PPT_015,0.907339018755112
0,hardness,walking,PPT_002,PPT_016,0.8998516320474776
0,hardness,walking,PPT_002,PPT_017,0.9095628888991196
0,hardness,walking,PPT_002,PPT_018,0.8114835203681815
0,hardness,walking,PPT_002,PPT_019,0.8711601229156243
0,hardness,walking,PPT_002,PPT_020,0.8558816757469637
0,hardness,walking,PPT_003,PPT_004,0.6280833040805252
0,hardness,walking,PPT_003,PPT_005,0.6904461853367475
0,hardness,walking,PPT_003,PPT_006,0.6864974009964664
0,hardness,walking,PPT_003,PPT_007,0.6381322720478602
0,hardness,walking,PPT_003,PPT_008,0.8129447020900413
0,hardness,walking,PPT_003,PPT_009,0.8116600995848086
0,hardness,walking,PPT_003,PPT_010,0.8245537760958269
